지점명,일시,평균기온(°C),평균최저기온(°C),평균최고기온(°C)
수원,1986,10.6,5.9,16
충주,1986,10.5,5.6,16.7
서산,1986,10.9,6.6,16.2
울진,1986,11.3,7.1,15.8
청주,1986,11.2,6.1,17.1
대전,1986,11.8,7,17.3
추풍령,1986,10.9,6.3,16
안동,1986,10.7,5.6,16.8
포항,1986,13,9.1,17.6
군산,1986,11.9,8.4,16.5
대구,1986,12.9,8.2,18.7
전주,1986,12.1,7.7,17.6
울산,1986,13.1,8.4,18.5
창원,1986,13.8,10.3,17.9
광주,1986,12.7,8.5,18
부산,1986,13.7,10.1,18.4
통영,1986,13.6,10,17.9
목포,1986,13,9.6,18.1
여수,1986,13.4,10.2,17.2
완도,1986,13.6,10.7,16.7
제주,1986,14.7,11.6,17.9
성산,1986,14.6,10.3,18.5
성산,1986,14.6,10.3,18.5
서귀포,1986,15.6,12.2,19.5
진주,1986,12.3,6.7,19
강화,1986,10.2,5,15.3
양평,1986,9.9,4.4,16.9
이천,1986,10.5,5.4,16.3
인제,1986,9.2,3.7,15.5
홍천,1986,9.4,3.5,17.1
삼척,1986,11.2,6.2,15.8
태백,1986,7.8,2.7,13.4
제천,1986,9.4,4,15.9
보은,1986,10,4.3,16.3
천안,1986,10.8,5.8,16.7
보령,1986,11.3,6.6,16.4
부여,1986,11.1,6,17.4
금산,1986,11,5.6,17.2
부안,1986,11.6,7,16.7
임실,1986,10.1,4.7,16.9
정읍,1986,12.2,7.1,17.9
남원,1986,11.7,6.4,18.2
주암,1986,11.9,6.9,18.6
장흥,1986,12.3,7.3,18.4
해남,1986,12.6,7.8,17.8
고흥,1986,13.1,7.7,19.1
성산포,1986,14.6,10.3,18.5
영주,1986,10.2,4.7,16.2
문경,1986,11.6,6.7,17.1
영덕,1986,11.7,6.8,17.2
의성,1986,10.3,4.3,17.5
구미,1986,11.4,6.3,17.3
영천,1986,11.6,6.2,18.3
거창,1986,10.9,5.4,17.8
합천,1986,12.1,6.6,18.8
밀양,1986,12.4,6.7,18.9
산청,1986,12.3,7.1,18.9
거제,1986,13.4,8.9,18.3
남해,1986,13.5,9,19
속초,1987,12.2,8.8,16
대관령,1987,6.5,1.9,11.2
춘천,1987,10.9,5.7,17
강릉,1987,13.2,9.2,17.7
서울,1987,11.9,7.9,16.4
인천,1987,11.5,8.2,15.2
원주,1987,10.8,5.7,16.8
울릉도,1987,12.3,9.5,15.7
관악산,1987,9.5,5.5,13.8
수원,1987,11.4,6.8,16.8
충주,1987,11.4,6.4,17.6
서산,1987,11.6,7.2,17
울진,1987,12.6,8.2,17.1
청주,1987,12,6.9,18.2
대전,1987,12.5,7.4,18.1
추풍령,1987,11.5,6.5,17.3
안동,1987,11.5,6.1,17.8
포항,1987,14,9.9,18.8
군산,1987,12.3,8.8,16.7
대구,1987,13.7,8.9,19.6
전주,1987,12.9,8.3,18.4
울산,1987,13.8,9.1,19.3
창원,1987,14.5,10.7,19.3
광주,1987,13.4,9.1,18.7
부산,1987,14.3,10.9,18.8
통영,1987,14.2,10.6,18.4
목포,1987,13.6,10,18.5
여수,1987,14,10.8,17.7
완도,1987,14,11.2,17.4
제주,1987,15.4,12.3,18.9
성산,1987,15.3,11,19.2
성산,1987,15.3,11,19.2
서귀포,1987,16.3,13,20.1
진주,1987,12.8,7.6,19.1
강화,1987,10.7,5.8,15.9
양평,1987,10.7,5.1,17.7
이천,1987,11.2,6.2,17.1
인제,1987,10.1,4.6,16.3
홍천,1987,10.1,4.3,17.8
삼척,1987,12.7,7.5,17.5
태백,1987,8.5,3.1,14
제천,1987,10.3,4.4,16.9
보은,1987,10.8,5.2,17.2
천안,1987,11.6,6.6,17.5
보령,1987,12,7.4,17.2
부여,1987,11.9,6.8,18.1
금산,1987,11.6,6.1,18.1
부안,1987,12,7.5,17.3
임실,1987,10.9,5.9,17.7
정읍,1987,12.9,7.7,18.8
남원,1987,12.4,6.8,19.1
주암,1987,12.6,7.5,19.4
장흥,1987,12.8,8,18.9
해남,1987,13.2,8.6,18.3
고흥,1987,13.6,8.3,19.7
성산포,1987,15.3,11,19.2
영주,1987,10.7,5,17.2
문경,1987,12.3,7.3,18.3
영덕,1987,12.8,7.6,18.5
의성,1987,10.9,4.7,18.4
구미,1987,11.9,6.7,18.2
영천,1987,12,6.5,18.4
거창,1987,11.4,5.8,18.5
합천,1987,12.6,7.1,19.6
밀양,1987,12.8,7.2,19.5
산청,1987,12.8,7.5,19.8
거제,1987,14,9.6,18.8
남해,1987,14.1,9.6,19.4
속초,1988,12.3,8.8,16.1
철원,1988,10,3.9,16.7
대관령,1988,5.8,1.6,10.3
춘천,1988,10.6,5.1,17.1
강릉,1988,12.8,8.9,17.3
서울,1988,12.1,8,16.8
인천,1988,11.7,8.3,15.8
원주,1988,10.6,5.2,16.9
울릉도,1988,12.1,9.3,15.4
관악산,1988,9.3,5.4,14
수원,1988,11.3,6.4,17
충주,1988,11.2,5.9,17.8
서산,1988,11.5,6.7,17.2
울진,1988,12.4,8.2,16.8
청주,1988,11.7,6.4,18.2
대전,1988,12.3,7.2,18.2
추풍령,1988,11.3,6.2,16.8
안동,1988,11.4,5.9,17.8
포항,1988,13.7,9.9,18.4
군산,1988,12.5,8.8,16.9
대구,1988,13.4,8.6,19.5
전주,1988,12.8,7.9,18.8
울산,1988,13.5,9,18.9
창원,1988,14.4,10.5,19.2
광주,1988,13.4,8.9,18.9
부산,1988,14.2,10.8,18.7
통영,1988,14.2,10.4,18.5
목포,1988,13.7,9.9,19
여수,1988,14,10.8,17.7
완도,1988,14.1,11.4,17.4
제주,1988,15.2,12.3,18.5
고산,1988,15.2,12.7,17.7
성산,1988,15.3,11.1,19.1
성산,1988,15.3,11.1,19.1
서귀포,1988,16.2,12.8,20.2
진주,1988,12.7,7.1,19.2
강화,1988,10.9,5.7,16.4
양평,1988,10.5,4.4,17.9
이천,1988,11.2,5.9,17.3
인제,1988,9.8,4.1,16.2
홍천,1988,9.9,3.8,17.6
삼척,1988,12.5,7.6,17.1
태백,1988,7.8,3,12.9
제천,1988,10.1,4,16.9
보은,1988,10.6,4.4,17.2
천안,1988,11.5,6.1,17.8
보령,1988,12.1,7.1,17.3
부여,1988,11.8,6,18.1
금산,1988,11.2,5.3,17.9
부안,1988,12.3,7.6,17.6
임실,1988,10.7,5.1,17.4
정읍,1988,12.9,7.4,19.2
남원,1988,12.2,6.3,19.2
장수,1988,10.2,4.6,16.5
주암,1988,12.2,6.8,19.4
장흥,1988,12.8,7.6,19.1
해남,1988,13.1,8.3,18.3
고흥,1988,13.5,7.8,19.7
성산포,1988,15.3,11.1,19.1
봉화,1988,9.8,3.5,17.4
영주,1988,10.4,4.4,17
문경,1988,11.5,6.1,17.2
영덕,1988,12.5,7.4,18
의성,1988,10.5,3.9,18.2
구미,1988,11.6,5.7,18.1
영천,1988,11.8,6.2,17.9
거창,1988,11.2,5.2,18.4
합천,1988,12.2,6.2,19.5
밀양,1988,12.7,6.6,19.5
산청,1988,12.6,7,19.6
거제,1988,13.9,9.4,18.6
남해,1988,13.9,9.3,19.5
속초,1989,12.2,8.8,15.8
철원,1989,11,5.4,17.2
대관령,1989,6.7,2.6,11
춘천,1989,11.6,6.5,17.7
강릉,1989,13.4,9.6,17.8
서울,1989,13,9,17.5
인천,1989,12.5,9.1,16.5
원주,1989,11.7,6.6,17.7
울릉도,1989,12.7,10,15.9
관악산,1989,10.2,6.5,14.5
수원,1989,12.3,7.7,17.6
충주,1989,12,7.1,18.2
서산,1989,12.3,7.7,17.8
울진,1989,12.9,8.8,17.4
청주,1989,12.6,7.4,18.7
대전,1989,13.1,8.3,18.6
추풍령,1989,12.1,7,17.4
안동,1989,12.3,7.1,18.4
포항,1989,14.4,10.9,18.9
군산,1989,13.1,9.7,17.2
대구,1989,14.3,9.7,19.9
전주,1989,13.4,8.8,19
울산,1989,14.2,9.9,19.3
창원,1989,15,11.3,19.8
광주,1989,13.9,9.7,19.2
부산,1989,14.9,11.7,19.3
통영,1989,14.8,11.1,19.2
목포,1989,14.2,10.5,19.3
여수,1989,14.6,11.6,18.2
완도,1989,14.6,12.1,17.7
제주,1989,15.7,12.8,18.8
고산,1989,15.6,13.3,18.2
성산,1989,15.5,11.4,19.4
성산,1989,15.5,11.4,19.4
서귀포,1989,16.6,13.4,20.3
진주,1989,13.3,8.4,19.5
강화,1989,11.6,6.5,17.1
양평,1989,11.5,5.8,18.2
이천,1989,12.1,7.1,17.9
인제,1989,10.6,5.2,16.9
홍천,1989,10.4,4.8,17.4
삼척,1989,12.9,8.3,17.6
태백,1989,8.7,4.2,13.7
제천,1989,11,5.3,17.4
보은,1989,11.4,5.5,17.8
천안,1989,12.4,7.1,18.2
보령,1989,12.6,7.9,17.7
부여,1989,12.4,7.2,18.9
금산,1989,11.9,6.3,18.2
부안,1989,13,8.6,18.1
임실,1989,11.5,6.2,17.9
정읍,1989,13.4,8.2,19.3
남원,1989,12.8,7.3,19.4
장수,1989,10.8,5.3,17
주암,1989,12.9,8,19.1
장흥,1989,13.4,8.3,19.6
해남,1989,13.7,9.1,18.7
고흥,1989,14,8.8,19.8
성산포,1989,15.5,11.4,19.4
봉화,1989,10.2,4.2,17.2
영주,1989,11.4,5.7,17.9
문경,1989,12.1,7,17.7
영덕,1989,13.3,8.3,18.7
의성,1989,11.7,5.5,18.9
구미,1989,12.2,6.9,18.3
영천,1989,12.5,7.1,18.6
거창,1989,11.7,6.2,18.7
합천,1989,12.8,7.5,19.6
밀양,1989,13.5,7.9,20.2
산청,1989,13.1,7.8,19.8
거제,1989,14.5,10.2,19.3
남해,1989,14.4,10.1,20
속초,1990,12.4,9.1,16.1
철원,1990,10.4,5.7,15.8
대관령,1990,6.9,2.8,11.4
춘천,1990,11.4,6.9,17
강릉,1990,13.6,10,17.8
서울,1990,12.8,9,17.1
인천,1990,12.3,9.1,16.2
원주,1990,11.7,6.9,17.5
울릉도,1990,13.3,10.7,16.6
관악산,1990,10,6.4,14.1
수원,1990,12.4,8.2,17.3
충주,1990,12.3,7.7,18.2
서산,1990,12.4,8.3,17.5
울진,1990,13.3,9.2,17.9
청주,1990,12.9,8.1,18.6
대전,1990,13.4,9,18.5
추풍령,1990,12.3,7.6,17.6
안동,1990,12.6,7.7,18.4
포항,1990,15,11.4,19.6
군산,1990,13.5,10.2,17.5
대구,1990,14.6,10.1,20.1
전주,1990,13.9,9.5,19.3
울산,1990,14.9,10.7,19.9
창원,1990,15.6,11.9,20.2
광주,1990,14.5,10.3,19.6
부산,1990,15.5,12.3,19.6
통영,1990,15.2,11.7,19.5
목포,1990,14.7,10.9,19.6
여수,1990,14.8,11.7,18.6
완도,1990,14.9,12.3,17.9
제주,1990,16.4,13.3,19.5
고산,1990,16.2,13.7,18.8
성산,1990,16.1,12,19.9
성산,1990,16.1,12,19.9
서귀포,1990,17.1,13.9,20.5
진주,1990,13.8,9,19.7
강화,1990,11.6,7.4,16.1
양평,1990,11.4,6.3,17.7
이천,1990,12,7.3,17.5
인제,1990,10.6,5.8,16.5
홍천,1990,10.4,5.5,16.9
삼척,1990,13.2,8.6,17.9
태백,1990,9.1,4.6,14.1
제천,1990,11,5.8,17.2
보은,1990,11.5,6.1,17.9
천안,1990,12.4,7.8,18
보령,1990,13,8.5,17.9
부여,1990,12.8,7.8,19.3
금산,1990,12.1,6.9,18.3
부안,1990,13.3,9.1,18.5
임실,1990,11.8,6.8,18
정읍,1990,13.7,8.7,19.8
남원,1990,13.1,7.9,19.7
장수,1990,11.3,5.9,17.4
주암,1990,13.3,8.6,19.4
장흥,1990,13.9,9,19.8
해남,1990,14.3,9.8,19.1
고흥,1990,14.4,9.3,20.1
성산포,1990,16.1,12,19.9
봉화,1990,10.4,4.8,17.3
영주,1990,11.5,6.2,17.6
문경,1990,12.3,7.5,17.6
영덕,1990,13.6,8.7,19.1
의성,1990,12,6,19
구미,1990,12.6,7.6,18.6
영천,1990,13,7.6,19
거창,1990,12.2,6.9,18.9
합천,1990,13.5,8.1,19.9
밀양,1990,14,8.5,20.5
산청,1990,13.1,8.2,19.2
거제,1990,15.1,10.8,19.8
남해,1990,15,10.5,20
속초,1991,11.9,8,15.9
철원,1991,9.9,4.2,16
대관령,1991,6.1,1.8,11
춘천,1991,10.9,5.6,16.9
강릉,1991,13,9,17.5
서울,1991,12.3,8.2,17
인천,1991,11.8,8.2,16
원주,1991,11,5.7,17.3
울릉도,1991,12.2,9.6,15.4
수원,1991,11.7,7,17.1
충주,1991,11.4,6.2,17.8
서산,1991,11.6,6.9,17.4
울진,1991,12.4,8.2,16.9
청주,1991,12,6.8,18.1
대전,1991,12.6,7.6,18.2
추풍령,1991,11.5,6.5,17
안동,1991,11.7,6.4,17.7
포항,1991,13.9,10.4,18.2
군산,1991,12.6,9.3,17
대구,1991,13.7,9,19.1
전주,1991,13,8.3,18.5
울산,1991,13.7,9.5,18.7
창원,1991,14.6,10.8,19
광주,1991,13.7,9.5,19
부산,1991,14.4,11.2,18.6
통영,1991,14.2,10.6,18.6
목포,1991,13.9,10.1,19.1
여수,1991,13.9,10.9,18
완도,1991,14.2,11.7,17.3
제주,1991,15.5,12.7,18.5
고산,1991,15.2,13,17.7
성산,1991,15.2,11.8,18.6
성산,1991,15.2,11.8,18.6
서귀포,1991,16.2,13.1,19.7
진주,1991,12.8,7.8,18.9
강화,1991,11.1,6.6,16
양평,1991,10.9,4.8,17.7
이천,1991,11.5,6.2,17.5
인제,1991,10,4.4,16.7
홍천,1991,9.6,3.7,17.2
삼척,1991,12.5,7.4,17.1
태백,1991,8.2,3.4,13.4
제천,1991,10.3,4.5,17.1
보은,1991,10.6,4.7,17.2
천안,1991,11.5,6.4,17.6
보령,1991,12,7.2,17.6
부여,1991,11.8,6.6,18.2
금산,1991,11.2,5.4,17.5
부안,1991,12.3,7.9,17.5
임실,1991,11,5.5,17.5
정읍,1991,12.8,7.9,18.9
남원,1991,12.4,6.9,19.7
장수,1991,10.2,4.8,16.4
주암,1991,12.6,7.5,19.1
장흥,1991,13.1,8.1,18.7
해남,1991,13.4,8.7,18.7
고흥,1991,13.5,8.3,19.6
성산포,1991,15.2,11.8,18.6
봉화,1991,9.4,3.3,16.7
영주,1991,11,5.5,17.5
문경,1991,11.4,6.4,17
영덕,1991,12.7,7.6,18.1
의성,1991,10.8,4.4,18.6
구미,1991,11.9,6.6,18.2
영천,1991,11.9,6.4,17.9
거창,1991,11.4,5.7,18.1
합천,1991,12.5,7,19.1
밀양,1991,13.1,7.4,19.7
산청,1991,12.3,7.1,18.8
거제,1991,13.9,9.6,18.7
남해,1991,13.9,9.8,18.6
속초,1992,12.4,8.6,16.7
철원,1992,9.8,4.5,15.8
대관령,1992,6.1,1.9,10.8
춘천,1992,11.1,6.3,16.8
강릉,1992,13.2,9.2,17.5
서울,1992,12.5,8.5,16.9
인천,1992,11.9,8.4,16.2
원주,1992,11.1,6.1,17.1
울릉도,1992,12.7,9.9,15.9
수원,1992,11.9,7.5,17.1
충주,1992,11.5,6.5,17.6
서산,1992,11.9,7.4,17.7
울진,1992,12.9,8.7,17.6
청주,1992,12.3,7.3,18.4
대전,1992,12.8,7.9,18.5
추풍령,1992,11.7,6.8,17.4
안동,1992,11.9,6.6,18.1
포항,1992,14.5,10.8,18.9
군산,1992,12.9,9.3,17.2
대구,1992,14.1,9.4,19.7
전주,1992,13.2,8.5,18.7
울산,1992,14.2,10,19.2
창원,1992,14.8,11,19.5
광주,1992,13.7,9.1,19.1
부산,1992,14.8,11.5,18.8
통영,1992,14.6,11.1,18.6
목포,1992,14.3,10.3,19.6
여수,1992,14.5,11.2,18.5
완도,1992,14.7,11.9,18
제주,1992,15.9,13,19.1
고산,1992,15.7,13.1,18.2
성산,1992,15.6,11.9,19.4
성산,1992,15.6,11.9,19.4
서귀포,1992,16.6,13.3,20.4
진주,1992,13.1,7.8,19.4
강화,1992,11.2,6.6,16.1
양평,1992,10.9,5.9,17
이천,1992,11.3,6.3,17.1
인제,1992,9.8,4.8,15.9
홍천,1992,9.7,4.3,16.7
삼척,1992,12.6,7.5,17.5
태백,1992,8.6,3.7,13.9
제천,1992,10.3,4.6,16.8
보은,1992,10.5,4.7,17.1
천안,1992,11.8,6.7,17.7
보령,1992,12.1,7.1,17.8
부여,1992,11.9,6.7,18.3
금산,1992,11.5,5.8,18.3
부안,1992,12.5,8,17.8
임실,1992,11.1,5.5,17.7
정읍,1992,13,8.2,18.8
남원,1992,12.7,7,19.8
장수,1992,10.3,4.9,16.6
주암,1992,12.6,7.4,19.5
장흥,1992,13.1,7.8,19.3
해남,1992,13.5,8.6,18.9
고흥,1992,13.5,8.1,19.5
성산포,1992,15.6,11.9,19.4
봉화,1992,9.6,3.4,16.8
영주,1992,11.5,6.2,17.1
문경,1992,11.6,6.3,17.2
영덕,1992,12.9,7.7,18.5
의성,1992,10.9,4.5,18.6
구미,1992,12.1,6.5,18.6
영천,1992,12.1,6.6,18.3
거창,1992,11.3,5.3,18.5
합천,1992,12.6,7,19.3
밀양,1992,13.1,7.3,19.8
산청,1992,12.5,7.2,19
거제,1992,14.1,9.7,18.8
남해,1992,14.1,9.8,19
속초,1993,11.6,8.1,15.5
철원,1993,9.7,4.4,15.7
대관령,1993,5.7,1.1,10.4
춘천,1993,10.9,5.9,16.7
강릉,1993,12.3,8.4,16.4
동해,1993,11.6,7.9,15.2
서울,1993,12,8.1,16.7
인천,1993,11.5,8.1,15.6
원주,1993,10.7,5.6,16.7
울릉도,1993,11.8,9,15.3
수원,1993,11.5,7,16.7
충주,1993,11,5.9,17.1
서산,1993,11.4,6.8,17.2
울진,1993,11.9,7.9,16.2
청주,1993,11.9,6.9,17.7
대전,1993,12.3,7.6,17.8
추풍령,1993,11.2,6.3,16.6
안동,1993,11.3,6.2,17.3
포항,1993,13.4,9.9,17.5
군산,1993,12.2,8.7,16.5
대구,1993,13.4,8.8,18.9
전주,1993,12.5,7.9,18
울산,1993,13.1,8.9,18.1
창원,1993,14.1,10.4,18.8
광주,1993,13.1,8.8,18.4
부산,1993,14,10.7,18.2
통영,1993,13.9,10.4,18.1
무안,1993,12.6,9,16.7
목포,1993,13.6,9.8,18.5
여수,1993,13.8,10.6,17.6
완도,1993,13.9,11.2,17
제주,1993,15.2,12.3,18.3
고산,1993,14.9,12.5,17.5
성산,1993,14.4,10.5,18.3
성산,1993,14.4,10.5,18.3
서귀포,1993,15.8,12.7,19.6
진주,1993,12.4,7.3,18.6
강화,1993,10.6,5.6,15.6
양평,1993,10.4,5.1,16.6
이천,1993,11.2,6,16.9
인제,1993,9.3,3.7,15.7
홍천,1993,9.4,3.7,16.5
삼척,1993,11.8,6.7,16.5
태백,1993,8.8,3.5,14.5
제천,1993,9.3,3.5,15.6
보은,1993,9.8,4.1,16.3
천안,1993,11.3,6.2,17.2
보령,1993,11.6,6.1,17.2
부여,1993,11.3,6.2,17.7
금산,1993,11,5.3,17.7
부안,1993,11.9,7,17.2
임실,1993,10.4,4.9,17
정읍,1993,12.3,7.5,17.7
남원,1993,11.7,6,18.4
장수,1993,9.6,4.1,16
주암,1993,12,6.6,19
장흥,1993,12.4,7.3,18.6
해남,1993,12.8,8,17.8
고흥,1993,12.7,7.3,18.5
성산포,1993,14.4,10.5,18.3
봉화,1993,9.6,3.4,16.7
영주,1993,11,5.6,16.7
문경,1993,10.9,5.6,16.7
영덕,1993,11.9,6.9,17.2
의성,1993,10.3,3.7,18
구미,1993,11.4,5.9,17.8
영천,1993,11.5,5.9,17.8
거창,1993,10.6,4.8,17.6
합천,1993,12.1,6.6,18.7
밀양,1993,12.6,6.8,19
산청,1993,11.9,6.6,18.2
거제,1993,13.4,9,18.2
남해,1993,13.4,9.2,18.1
속초,1994,13.1,8.9,16.9
철원,1994,10.7,5.2,16.7
대관령,1994,7.3,2.7,12.7
춘천,1994,11.7,6.4,18
강릉,1994,14.1,9.9,18.6
동해,1994,13.4,9.4,17.4
서울,1994,13.5,9.5,18.3
인천,1994,12.9,9.3,17.3
원주,1994,12.1,6.7,18.4
울릉도,1994,13.1,10.2,16.9
수원,1994,13.2,8.3,18.5
충주,1994,11.9,5.9,18.6
서산,1994,12.6,8,18.5
울진,1994,13.6,9.3,18.4
청주,1994,13.3,8,19.4
대전,1994,13.8,8.7,19.7
추풍령,1994,12.7,7.1,18.9
안동,1994,12.8,6.9,19.4
포항,1994,15.4,11.3,20.2
군산,1994,13.6,9.9,18.2
대구,1994,15.2,10.1,21.2
전주,1994,13.9,9,19.7
울산,1994,14.8,10.2,20.3
창원,1994,15.8,11.7,20.4
광주,1994,14.6,9.9,20.3
부산,1994,15.6,12.2,20
통영,1994,15,11.3,19.4
무안,1994,14,10,18.4
목포,1994,14.9,11.1,20.3
여수,1994,15.1,11.8,19.2
완도,1994,15,12.2,18.3
제주,1994,16.5,13.5,19.6
고산,1994,16.1,13.7,18.9
성산,1994,15.6,11.6,19.4
성산,1994,15.6,11.6,19.4
서귀포,1994,17.1,14,20.7
진주,1994,13.7,8,20.5
강화,1994,11.9,6.7,17
양평,1994,11.7,5.9,18.2
이천,1994,13,7.3,19.3
인제,1994,10.6,4.7,17.3
홍천,1994,11,5.2,18.3
삼척,1994,13.4,7.6,18.7
태백,1994,8.8,3.5,14.7
제천,1994,10.5,4.1,17.5
보은,1994,11.1,4.8,18.2
천안,1994,12.8,7.3,19
보령,1994,12.9,7.3,18.8
부여,1994,12.6,7,19.4
금산,1994,12.2,5.8,19.6
부안,1994,13.2,8,18.9
임실,1994,11.5,5.2,18.8
정읍,1994,13.7,8.5,19.5
남원,1994,12,5.4,19.3
장수,1994,10.7,4.5,17.6
주암,1994,13.1,7.1,20.6
장흥,1994,13.5,7.5,20.2
해남,1994,13.7,8,19.4
고흥,1994,13.9,7.8,20.1
성산포,1994,15.6,11.6,19.4
봉화,1994,11.2,4.2,19
영주,1994,12.3,6.5,18.4
문경,1994,12.5,6.5,18.7
영덕,1994,13.6,8.6,18.8
의성,1994,11.7,4.2,20.2
구미,1994,13,6.7,20
영천,1994,13.4,7,20.3
거창,1994,12,5.4,19.5
합천,1994,13.3,7,20.8
밀양,1994,14,7.5,21.1
산청,1994,13.2,7.3,20
거제,1994,14.9,10.2,19.9
남해,1994,14.7,10.1,19.7
속초,1995,12.2,8.1,16.3
철원,1995,9.3,3.9,15.4
대관령,1995,6.1,1.6,11
춘천,1995,10.3,4.9,16.7
강릉,1995,13.1,8.8,17.8
동해,1995,12.5,8.2,16.8
서울,1995,12.2,8.2,16.7
인천,1995,11.7,8.3,16
원주,1995,10.6,5.2,17.1
울릉도,1995,12.3,9.7,15.8
수원,1995,11.9,7,17.2
영월,1995,9.9,4.2,16.6
충주,1995,10.2,4.5,17.1
서산,1995,11.6,7,17.3
울진,1995,12.6,8.1,17.6
청주,1995,12,6.8,18.3
대전,1995,12.3,7,18.4
추풍령,1995,11.4,6.1,17.5
안동,1995,11.5,5.7,18.1
포항,1995,14.1,10,19
군산,1995,12.7,8.8,17.2
대구,1995,13.9,8.9,20
전주,1995,12.8,8,18.6
울산,1995,13.7,9.2,19.2
창원,1995,14.7,10.6,19.3
광주,1995,13.4,8.9,18.7
부산,1995,14.5,11,19.1
통영,1995,13.8,10.1,18.3
무안,1995,13.3,9.3,17.7
목포,1995,13.9,10.1,19.1
여수,1995,14.1,10.7,18.3
완도,1995,14,11.3,17.2
제주,1995,15.6,12.7,18.6
고산,1995,15.3,12.9,17.9
성산,1995,14.5,10.6,18.4
성산,1995,14.5,10.6,18.4
서귀포,1995,16,13.1,19.4
진주,1995,12.5,6.8,19.3
강화,1995,11,5.9,16.1
양평,1995,10.2,4.3,17
이천,1995,11.3,5.5,18
인제,1995,9.2,3.5,15.9
홍천,1995,9.5,3.7,16.9
삼척,1995,12.7,7,17.9
태백,1995,7.7,2.4,13.6
제천,1995,8.9,2.7,16.1
보은,1995,9.8,3.6,17.1
천안,1995,11.6,6.3,17.8
보령,1995,12,6.9,17.5
부여,1995,11.4,5.8,18.3
금산,1995,10.7,4.5,18.2
부안,1995,12.2,7.3,17.9
임실,1995,10.3,4.2,17.6
정읍,1995,12.7,7.7,18.4
남원,1995,11.2,5,18.5
장수,1995,9.6,3.9,16.4
주암,1995,12,6.3,19.3
장흥,1995,12.1,6.4,18.2
해남,1995,12.8,7.4,18.3
고흥,1995,12.9,6.8,19.1
성산포,1995,14.5,10.6,18.4
봉화,1995,9.3,2.4,17.5
영주,1995,10.9,5.1,16.9
문경,1995,11.2,5.4,17.3
영덕,1995,12.5,7.5,17.7
의성,1995,10.4,3.3,18.9
구미,1995,12.2,6.1,19
영천,1995,12.2,6,19
거창,1995,10.8,4.3,18.4
합천,1995,12.2,6.1,19.8
밀양,1995,12.8,6.4,19.7
산청,1995,12.1,6.6,18.8
거제,1995,13.8,9.2,18.7
남해,1995,13.8,9.2,18.8
속초,1996,11.5,7.5,15.7
철원,1996,9.4,4,15.5
대관령,1996,6,1.5,10.8
춘천,1996,10.4,5.2,16.7
강릉,1996,12.5,8.4,17
동해,1996,11.6,7.5,15.9
서울,1996,12.2,8.3,16.8
인천,1996,11.6,8,16.2
원주,1996,10.8,5.5,17.3
울릉도,1996,12.2,9.5,15.8
수원,1996,12.1,7.4,17.4
영월,1996,10.1,4.5,16.8
충주,1996,10.6,5.3,17.1
서산,1996,11.5,7.1,17.2
울진,1996,11.9,7.8,16.5
청주,1996,12.1,7.2,17.8
대전,1996,12.1,7.2,18
추풍령,1996,11.4,6.4,17.3
안동,1996,11.6,6.1,18
포항,1996,13.8,10,18.4
군산,1996,12.4,8.8,16.6
대구,1996,13.7,8.9,19.4
전주,1996,12.7,7.9,18.4
울산,1996,13.7,9.3,19
창원,1996,14.5,10.5,19
광주,1996,13.2,8.9,18.6
부산,1996,14.5,10.9,19.1
통영,1996,13.8,10.2,18.4
무안,1996,13,9.2,17.3
목포,1996,13.6,9.8,18.8
여수,1996,14,10.7,18.1
완도,1996,13.8,10.7,17.6
제주,1996,15.7,12.7,18.9
고산,1996,15.3,12.8,17.9
성산,1996,14.8,11,18.9
성산,1996,14.8,11,18.9
서귀포,1996,16.3,13.4,19.6
진주,1996,12.6,7.1,19.1
강화,1996,10.9,5.8,16.1
양평,1996,10.5,4.9,17.1
이천,1996,11.6,6.1,18.1
인제,1996,9.2,3.7,15.9
홍천,1996,9.9,4.1,17.2
태백,1996,8,2.5,14.1
제천,1996,9.4,3.2,16.2
보은,1996,10.3,4.4,17.3
천안,1996,11.5,6.5,17.6
보령,1996,12,7.6,16.7
부여,1996,11.7,6,18.2
금산,1996,10.8,4.7,18.2
부안,1996,12.3,7.4,17.9
임실,1996,10.4,4.4,17.6
정읍,1996,12.6,7.9,18.2
남원,1996,11.4,5.4,18.5
장수,1996,9.5,3.7,16.4
주암,1996,12.1,6.6,19.5
장흥,1996,11.9,6.4,18.2
해남,1996,12.8,7.5,18.4
고흥,1996,13,7.7,18.6
성산포,1996,14.8,11,18.9
봉화,1996,9.8,3.1,17.6
영주,1996,11.3,5.8,17.3
문경,1996,11.3,5.8,17.4
영덕,1996,12.1,7.5,17.4
의성,1996,11,4.2,19.1
구미,1996,12.3,6.6,18.8
영천,1996,12,6,18.8
거창,1996,11.2,4.9,18.6
합천,1996,12.7,6.8,20.1
밀양,1996,12.9,7,19.7
산청,1996,12.5,7.1,19.2
거제,1996,13.5,8.7,18.4
남해,1996,13.9,9.7,18.9
속초,1997,12.6,8.7,16.9
철원,1997,10,4.3,16.2
대관령,1997,6.7,2,11.4
춘천,1997,11,5.5,17.4
강릉,1997,13.5,9.3,18
동해,1997,12.6,8.4,16.7
서울,1997,12.9,8.7,17.7
인천,1997,12.1,8.3,17
원주,1997,11.3,5.8,17.6
울릉도,1997,12.7,10.1,16
수원,1997,12.5,7.8,17.8
