지점명,일시,평균기온(°C),평균최저기온(°C),평균최고기온(°C)
여수,1947,12.6,9.3,16.4
제주,1947,13.9,10.6,17.9
강릉,1948,12.3,8.1,17
서울,1948,11.7,6.9,17.3
인천,1948,11.9,8.1,17.3
울릉도,1948,12.2,9.5,15.6
대구,1948,12.9,8.2,18.7
전주,1948,13.1,8.4,18.7
울산,1948,13.3,8.9,18.8
광주,1948,13.3,8.7,19
부산,1948,14.3,10.9,18.9
목포,1948,14,10.5,18.9
여수,1948,14.3,11.3,17.8
제주,1948,15.1,12,19.1
강릉,1949,12.1,8,16.7
서울,1949,11.7,7.4,17.2
인천,1949,11.8,8.1,17.1
울릉도,1949,12,9.4,15.4
추풍령,1949,11.6,7.2,17
포항,1949,12.8,8.2,17.5
대구,1949,12.5,7.9,18.4
전주,1949,12.6,8.2,18.1
울산,1949,12.9,8.4,18.4
광주,1949,12.9,8.6,18.4
부산,1949,13.7,10.4,18.2
목포,1949,13.5,10.2,18.3
여수,1949,13.7,10.8,17
제주,1949,14.6,11.6,18.4
울릉도,1950,12.3,9.9,15.7
대구,1950,12.9,8.1,18.7
전주,1950,13.1,8.3,18.7
울산,1950,13.2,8.7,18.9
광주,1950,13.3,8.7,18.9
부산,1950,14,10.7,18.5
목포,1950,14,10.3,19
제주,1950,15,11.8,18.9
울릉도,1951,12.7,10.1,16.2
포항,1951,13.8,9.8,18.4
대구,1951,13,7.9,19.2
전주,1951,12.6,8.3,18.1
울산,1951,13.3,8.6,19.6
광주,1951,13,8.5,18.6
부산,1951,14.1,10.9,18.5
목포,1951,13.5,10,18.5
여수,1951,13.8,10.9,17.4
제주,1951,14.8,11.5,18.8
강릉,1952,12,7.9,16.9
인천,1952,11.1,7.6,15.6
울릉도,1952,11.9,9.6,15
포항,1952,13.1,7.8,17.6
대구,1952,12.5,7.7,18.3
전주,1952,12.4,8.1,17.7
울산,1952,12.9,8.2,18.8
광주,1952,12.9,8.5,18.3
부산,1952,13.6,10.5,17.8
목포,1952,13.2,9.8,18.1
여수,1952,13.5,10.7,17.1
제주,1952,14.8,11.5,18.5
강릉,1953,12.4,8.7,17.1
인천,1953,11.1,7.8,15.4
울릉도,1953,12.2,9.9,15.2
추풍령,1953,11.4,6.3,16.9
포항,1953,13.4,6.5,17.6
대구,1953,12.6,7.9,18.4
전주,1953,12.6,8.2,17.8
울산,1953,13.2,8.9,19.2
광주,1953,13,8.7,18.5
부산,1953,13.9,10.8,18.1
목포,1953,13.5,10,18.4
여수,1953,13.7,10.9,17.2
제주,1953,14.9,11.5,18.8
강릉,1954,12.3,8.8,16.5
서울,1954,11.4,7.1,16.6
인천,1954,11.3,8,15.5
울릉도,1954,12.1,9.8,15.2
추풍령,1954,11.5,6.6,16.9
포항,1954,13.3,10,17
대구,1954,12.8,8.4,18.2
전주,1954,12.7,8.3,18.1
울산,1954,13.3,9.4,18.5
광주,1954,13.2,8.8,18.7
부산,1954,14.1,11,18
목포,1954,13.6,10.1,18.3
여수,1954,13.9,11.1,17.3
제주,1954,14.9,11.7,18.6
강릉,1955,12.8,8.8,17.6
서울,1955,11.5,7.1,16.7
인천,1955,11.4,7.9,15.7
울릉도,1955,12.4,9.8,15.7
추풍령,1955,11.6,6.8,17.3
포항,1955,13.3,9.7,17.5
대구,1955,13,8.1,18.8
전주,1955,12.8,8.2,18.5
울산,1955,13.4,9,18.7
광주,1955,13.3,8.5,19
부산,1955,14.1,10.9,18.3
목포,1955,13.8,10.3,18.8
여수,1955,14,11,17.4
제주,1955,15,11.6,18.8
강릉,1956,11.3,7.4,15.9
서울,1956,10.1,5.8,15
인천,1956,10.1,6.5,14.5
울릉도,1956,11.3,8.8,14.4
추풍령,1956,10.3,5.8,15.4
포항,1956,12,8.3,16.4
대구,1956,11.6,6.9,17.3
전주,1956,11.7,7.1,17.1
울산,1956,12.2,7.8,17.4
광주,1956,12.2,7.9,17.5
부산,1956,12.8,9.6,17
목포,1956,12.7,9.4,17.5
여수,1956,12.8,9.8,16.1
제주,1956,14.4,10.9,18
강릉,1957,11.5,7.8,16.1
서울,1957,10.4,6.1,15.7
인천,1957,10.3,6.8,14.7
울릉도,1957,11.4,8.9,14.8
추풍령,1957,10.7,6.1,16
포항,1957,12.4,8.9,16.9
대구,1957,12.1,7,17.9
전주,1957,11.8,7.2,17.5
울산,1957,12.6,8.2,18
광주,1957,12.4,7.8,17.9
부산,1957,13.4,10.2,17.7
목포,1957,12.9,9.4,17.9
여수,1957,13.2,10.2,16.7
제주,1957,14.3,10.9,18
강릉,1958,12.2,8.2,16.9
서울,1958,11.6,7.3,16.7
인천,1958,11.5,7.9,15.9
울릉도,1958,12.3,9.7,15.7
추풍령,1958,11.7,6.9,16.9
포항,1958,13.1,9.6,17.6
대구,1958,13,8.1,18.6
전주,1958,12.7,8.1,18.3
울산,1958,13.4,9.1,18.7
광주,1958,13.3,8.7,18.8
부산,1958,14.2,10.9,18.4
목포,1958,13.8,10.2,18.9
여수,1958,14,11,17.4
제주,1958,15.3,11.9,18.9
강릉,1959,13.3,9.2,17.8
서울,1959,12,7.9,17
인천,1959,11.9,8.6,16.2
울릉도,1959,12.9,10.4,16.2
추풍령,1959,12.1,7.8,17.2
포항,1959,13.9,10.4,18.2
대구,1959,13.6,9.1,19.1
전주,1959,13.3,8.8,18.7
울산,1959,13.9,9.8,19.1
광주,1959,13.9,9.4,19.3
부산,1959,14.6,11.3,18.6
목포,1959,14.4,10.9,19
여수,1959,14.4,11.5,17.9
제주,1959,15.6,12.4,19.4
강릉,1960,13,9.2,17.6
서울,1960,12.1,7.8,17
인천,1960,11.8,8.5,15.8
울릉도,1960,12.6,10,16
추풍령,1960,12,7.6,17.4
포항,1960,13.9,10.2,18.4
대구,1960,13.4,8.7,19.2
전주,1960,13.3,8.7,18.9
울산,1960,13.8,9.4,19.1
광주,1960,13.5,9.3,18.6
부산,1960,14.6,11.1,18.7
목포,1960,14.2,10.8,18.8
여수,1960,14.3,11.3,18.1
제주,1960,15.5,12.3,19.2
강릉,1961,13.6,9.3,18.1
서울,1961,12.4,8.1,17.2
인천,1961,12,8.5,16
울릉도,1961,12.9,10.3,16.1
추풍령,1961,12.4,8,17.3
포항,1961,14.1,10.4,18.4
대구,1961,13.7,9.1,19
전주,1961,13.7,9.2,18.9
울산,1961,14.1,9.7,19.1
광주,1961,13.8,9.7,18.7
부산,1961,14.8,11.4,18.6
목포,1961,14.4,11,18.8
여수,1961,14.5,11.4,18
제주,1961,16,12.5,19.5
서귀포,1961,16,,
강릉,1962,12.7,8.4,17.2
서울,1962,11.7,7.3,16.5
인천,1962,11.4,8,15.5
울릉도,1962,12,9.4,15.3
추풍령,1962,11.8,7.2,16.9
포항,1962,13.4,9.6,18
대구,1962,13.1,8.1,19
전주,1962,12.8,8.2,18.3
울산,1962,13.3,8.5,19
광주,1962,13,8.7,18
부산,1962,14,10.4,18.1
목포,1962,13.7,10.3,18.3
여수,1962,13.7,10.4,17.5
제주,1962,15.1,11.5,18.6
서귀포,1962,15,11.3,18.9
강릉,1963,11.6,7.6,16.2
서울,1963,11.3,7.2,16
인천,1963,11.1,7.6,15.4
울릉도,1963,11.1,8.5,14.3
추풍령,1963,11.1,6.6,16.1
포항,1963,12.4,8.6,17
대구,1963,12.3,7.5,17.8
전주,1963,12.4,8.2,17.5
울산,1963,12.4,8.1,17.7
광주,1963,12.5,8.5,17.3
부산,1963,13.2,10,17.2
목포,1963,13.4,10.2,17.8
여수,1963,13.1,10,16.6
제주,1963,14.8,11.4,18.2
서귀포,1963,14.8,11.2,18.3
강릉,1964,12,8.3,16.2
서울,1964,12.2,8.4,16.7
인천,1964,11.9,8.5,15.9
울릉도,1964,12.2,9.5,15.4
수원,1964,11.4,7.4,16.4
추풍령,1964,12.2,7.9,17.1
포항,1964,13.6,9.9,18.2
대구,1964,13.6,8.9,19.2
전주,1964,13.7,9.4,18.6
울산,1964,13.7,9.4,19
광주,1964,13.9,9.8,18.7
부산,1964,14.6,11.4,18.5
목포,1964,14.3,11.3,18.6
여수,1964,14.5,11.6,17.8
제주,1964,16.1,12.6,19.4
서귀포,1964,16.4,12.8,19.9
강릉,1965,12.2,8,16.9
서울,1965,11.4,7,16.4
인천,1965,11,7.6,15.2
울릉도,1965,11.8,9.2,14.9
수원,1965,10.8,5.9,16.1
추풍령,1965,11.4,6.6,16.8
포항,1965,12.9,8.6,17.8
대구,1965,12.8,7.6,18.6
전주,1965,12.7,8.1,18.1
울산,1965,13,8,18.7
광주,1965,12.7,8.3,17.9
부산,1965,13.6,10.2,18
목포,1965,13.3,10,17.9
여수,1965,13.5,10.4,17.1
제주,1965,15,11.3,18.6
서귀포,1965,15.5,11.5,19.2
춘천,1966,10.3,5.4,15.9
강릉,1966,12.2,8.2,16.8
서울,1966,11.5,7.4,16.3
인천,1966,11.1,7.6,15.2
울릉도,1966,11.9,9.3,15.2
수원,1966,11.1,6.4,16.3
추풍령,1966,11.5,7,16.8
포항,1966,12.9,8.9,17.7
대구,1966,12.9,8.3,18.5
전주,1966,13.1,8.8,18.4
울산,1966,13.3,8.6,18.7
광주,1966,13.4,9.1,18.4
부산,1966,14,10.9,18.1
목포,1966,13.8,10.6,18.3
여수,1966,13.9,11,17.6
제주,1966,15.6,12.1,19.2
서귀포,1966,16.2,12.3,19.8
춘천,1967,10.4,5.1,16.4
강릉,1967,12.4,8.5,16.9
서울,1967,11.6,7.7,16.5
인천,1967,11.2,7.7,15.5
울릉도,1967,12.1,9.6,15.4
수원,1967,11.1,6.1,16.4
청주,1967,11.5,6.5,17.1
추풍령,1967,11.6,7.1,16.8
포항,1967,13.1,9,17.8
대구,1967,13,8.4,18.6
전주,1967,12.9,8.7,18.3
울산,1967,13.2,8.7,18.6
광주,1967,13.3,8.9,18.5
부산,1967,14,10.8,18
목포,1967,13.5,10.4,18.1
여수,1967,13.8,10.9,17.6
제주,1967,15.2,11.8,18.6
서귀포,1967,15.8,12.1,19.6
속초,1968,11.7,8.5,15.3
춘천,1968,10.5,5.3,16.8
강릉,1968,12.2,8,16.8
서울,1968,11.8,7.6,16.8
인천,1968,11.2,7.6,15.6
울릉도,1968,11.8,9.4,15.2
수원,1968,10.8,5.4,16.7
서산,1968,11.8,7.7,16.6
청주,1968,11.5,6.4,17.3
추풍령,1968,11.6,6.7,17
포항,1968,12.8,8.6,17.6
군산,1968,12.4,9.2,16.4
대구,1968,13,8.2,18.7
전주,1968,12.9,8.6,18.3
울산,1968,13,8.5,18.6
광주,1968,13.2,8.8,18.5
부산,1968,13.7,10.6,17.8
통영,1968,13.7,10.8,17.1
목포,1968,13.3,10.3,17.8
여수,1968,13.7,10.7,17.5
제주,1968,14.8,11.4,18.2
서귀포,1968,15.4,11.7,19.1
속초,1969,11.6,8.4,14.9
춘천,1969,9.9,4.9,15.4
강릉,1969,12.1,8,16.4
서울,1969,10.9,7,15.4
인천,1969,10.4,7.1,14.4
울릉도,1969,11.3,8.8,14.7
수원,1969,10.2,5,15.6
서산,1969,11,7.1,15.2
청주,1969,10.7,5.8,16.2
대전,1969,11.2,6.5,16.4
추풍령,1969,10.7,6.2,15.9
포항,1969,12.7,8.5,17.5
